procedure_code,procedure_name,procedure_category,required_place_type
X639655,"ΕΝΔΟΣΚΟΠΗΣΗ, ΚΑΡΠΟΣ, ΧΕΙΡΟΥΡΓΙΚΗ, ΜΕ ΑΠΟΔΕΣΜΕΥΣΗ ΤΟΥ ΕΓΚΑΡΣΙΟΥ ΚΑΡΠΙΑΙΟΥ ΣΥΝΔΕΣΜΟΥ",DIAGNOSTIC,PROCEDURE_ROOM
X639659,"ΑΡΘΡΟΣΚΟΠΙΚΑ ΥΠΟΒΟΗΘΟΥΜΕΝΗ ΑΝΑΤΑΞΗ ΜΕΣΟΚΟΝΔΥΛΙΑΣ ΑΚΑΝΘΑΣ(ΩΝ) ΚΑΙ/Ή ΚΑΤΑΓΜΑΤΟΣ(ΤΩΝ) ΚΥΡΤΩΜΑΤΟΣ ΓΟΝΑΤΟΣ, ΜΕ Ή ΧΩΡΙΣ ΧΕΙΡΙΣΜΟ ΑΝΕΥ ΕΣΩΤΕΡΙΚΗΣ Ή ΕΞΩΤΕΡΙΚΗΣ ΚΑΘΗΛΩΣΗΣ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΑΡΘΡΟΣΚΟΠΗΣΗ)",SURGICAL,OPERATING_ROOM
X639661,"ΑΡΘΡΟΣΚΟΠΙΚΑ ΥΠΟΒΟΗΘΟΥΜΕΝΗ ΑΝΑΤΑΞΗ ΜΕΣΟΚΟΝΔΥΛΙΑΣ ΑΚΑΝΘΑΣ(ΩΝ) ΚΑΙ/Ή ΚΑΤΑΓΜΑΤΟΣ(ΤΩΝ) ΚΥΡΤΩΜΑΤΟΣ ΓΟΝΑΤΟΣ, ΜΕ Ή ΧΩΡΙΣ ΧΕΙΡΙΣΜΟ. ΜΕ ΕΣΩΤΕΡΙΚΗ Ή ΕΞΩΤΕΡΙΚΗ ΚΑΘΗΛΩΣΗ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΑΡΘΡΟΣΚΟΠΗΣΗ)",SURGICAL,OPERATING_ROOM
X639669,"ΑΡΘΡΟΣΚΟΠΙΚΑ ΥΠΟΒΟΗΘΟΥΜΕΝΗ ΑΝΑΤΑΞΗ ΚΝΗΜΙΑΙΟΥ ΚΑΤΑΓΜΑΤΟΣ, ΕΓΓΥΣ (ΚΝΗΜΙΑΙΟΥ ΠΛΑΤΩ) ΜΟΝΟΚΟΝΔΥΛΙΟ, ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΣΩΤΕΡΙΚΗ ΚΑΘΗΛΩΣΗ, ΟΤΑΝ ΕΚΤΕΛΕΙΤΑΙ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΑΡΘΡΟΣΚΟΠΗΣΗ)",SURGICAL,OPERATING_ROOM
X639671,"ΑΡΘΡΟΣΚΟΠΙΚΑ ΥΠΟΒΟΗΘΟΥΜΕΝΗ ΑΝΑΤΑΞΗ ΤΟΥ ΚΝΗΜΙΑΙΟΥ ΚΑΤΑΓΜΑΤΟΣ, ΕΓΓΥΣ (ΚΝΗΜΙΑΙΟΥ ΠΛΑΤΩ). ΔΙΚΟΝΔΥΛΙΟ, ΠΕΡΙΛΑΜΒΑΝΕΙ ΕΣΩΤΕΡΙΚΗ ΚΑΘΗΛΩΣΗ, ΟΤΑΝ ΕΚΤΕΛΕΙΤΑΙ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΑΡΘΡΟΣΚΟΠΗΣΗ)",SURGICAL,OPERATING_ROOM
X639679,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΚΑΤ' ΙΣΧΙΟΝ ΑΡΘΡΩΣΗ, ΔΙΑΓΝΩΣΤΙΚΗ, ΜΕ Ή ΧΩΡΙΣ ΑΡΘΡΙΚΗ ΒΙΟΨΙΑ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)",DIAGNOSTIC,PROCEDURE_ROOM
X639681,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΚΑΤ' ΙΣΧΙΟΝ ΑΡΘΡΩΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ; ΜΕ ΑΦΑΙΡΕΣΗ ΕΛΕΥΘΕΡΟΥ Ή ΞΕΝΟΥ ΣΩΜΑΤΟΣ",SURGICAL,OPERATING_ROOM
X639683,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΚΑΤ' ΙΣΧΙΟΝ ΑΡΘΡΩΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ; ΜΕ ΧΕΙΡΟΥΡΓΙΚΟ ΚΑΘΑΡΙΣΜΟ/ΑΠΟΞΕΣΗ ΤΟΥ ΑΡΘΡΙΚΟΥ ΧΟΝΔΡΟΥ (ΠΛΑΣΤΙΚΗ ΧΟΝΔΡΟΥ), ΑΡΘΡΟΠΛΑΣΤΙΚΗ ΑΠΟΞΕΣΗ, ΚΑΙ/ Ή ΑΦΑΙΡΕΣΗ ΤΟΥ ΧΕΙΛΟΥΣ",SURGICAL,OPERATING_ROOM
X639685,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΚΑΤ' ΙΣΧΙΟΝ ΑΡΘΡΩΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ; ΜΕ ΕΚΤΟΜΗ ΑΡΘΡΙΚΟΥ ΘΥΛΑΚΑ",SURGICAL,OPERATING_ROOM
X639691,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΧΕΙΡΟΥΡΓΙΚΗ. ΟΣΤΕΟΧΟΝΔΡΙΝΟ ΜΟΣΧΕΥΜΑ(ΤΑ) (ΠΧ. ΜΩΣΑΪΚΟΠΛΑΣΤΙΚΗ) (ΠΕΡΙΛΑΜΒΑΝΕΙ ΣΥΛΛΟΓΗ ΤΟΥ ΑΥΤΟΜΟΣΧΕΥΜΑΤΟΣ(ΤΩΝ)",SURGICAL,OPERATING_ROOM
X639693,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΧΕΙΡΟΥΡΓΙΚΗ. ΟΣΤΕΟΧΟΝΔΡΙΚΟ ΑΛΛΟΜΟΣΧΕΥΜΑ(ΤΑ) (ΠΧ. ΜΩΣΑΪΚΟΠΛΑΣΤΙΚΗ)",SURGICAL,OPERATING_ROOM
X639695,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΧΕΙΡΟΥΡΓΙΚΗ. ΜΕΤΑΜΟΣΧΕΥΣΗ ΜΗΝΙΣΚΟΥ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΑΡΘΡΟΤΟΜΗ ΓΙΑ ΕΙΣΑΓΩΓΗ ΜΗΝΙΣΚΟΥ), ΕΣΩ Ή ΕΞΩ",SURGICAL,OPERATING_ROOM
X639699,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΔΙΑΓΝΩΣΤΙΚΗ, ΜΕ Ή ΧΩΡΙΣ ΑΡΘΡΙΚΗ ΒΙΟΨΙΑ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)",DIAGNOSTIC,PROCEDURE_ROOM
X639701,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΧΕΙΡΟΥΡΓΙΚΗ, ΓΙΑ ΜΟΛΥΝΣΗ, ΕΚΠΛΥΣΗ ΚΑΙ ΠΑΡΟΧΕΤΕΥΣΗ",SURGICAL,OPERATING_ROOM
X639705,ΑΡΘΡΟΣΚΟΠΙΚΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΕΞΑΡΘΡΗΜΑΤΟΣ ΕΠΙΓΟΝΑΤΙΔΟΣ (LATERAL RELEASE),SURGICAL,OPERATING_ROOM
X639707,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΧΕΙΡΟΥΡΓΙΚΗ; ΓΙΑ ΑΦΑΙΡΕΣΗ ΕΛΕΥΘΕΡΟΥ Ή ΞΕΝΟΥ ΣΩΜΑΤΟΣ (ΠΧ. ΘΡΥΜΜΑΤΙΣΜΟΣ ΔΙΑΧΩΡΙΣΤΙΚΗΣ ΟΣΤΕΟΧΟΝΔΡΙΤΙΔΑΣ, ΘΡΥΜΜΑΤΙΣΜΟΣ ΧΟΝΔΡΟΥ)",SURGICAL,OPERATING_ROOM
X639709,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΧΕΙΡΟΥΡΓΙΚΗ. ΕΚΤΟΜΗ ΑΡΘΡΙΚΟΥ ΘΥΛΑΚΑ, ΠΕΡΙΟΡΙΣΜΕΝΗ (ΠΧ. ΠΤΥΧΗΣ Ή ΑΥΤΟ ΑΦΑΙΡΕΣΗ) (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)",SURGICAL,OPERATING_ROOM
X639711,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΧΕΙΡΟΥΡΓΙΚΗ. ΕΚΤΟΜΗ ΑΡΘΡΙΚΟΥ ΘΥΛΑΚΑ, ΜΕΓΑΛΗ, ΔΥΟ Ή ΠΕΡΙΣΣΟΤΕΡΑ ΔΙΑΜΕΡΙΣΜΑΤΑ (ΠΧ. ΕΣΩ Ή ΕΞΩ)",SURGICAL,OPERATING_ROOM
X639713,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΧΕΙΡΟΥΡΓΙΚΗ; ΧΕΙΡΟΥΡΓΙΚΟΣ ΚΑΘΑΡΙΣΜΟΣ/ΑΠΟΞΕΣΗ ΑΡΘΡΙΚΟΥ ΧΟΝΔΡΟΥ (ΧΟΝΔΡΟΠΛΑΣΤΙΚΗ)",SURGICAL,OPERATING_ROOM
X639717,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΧΕΙΡΟΥΡΓΙΚΗ. ΑΡΘΡΟΠΛΑΣΤΙΚΗ ΑΠΟΞΕΣΗ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΧΟΝΔΡΟΠΛΑΣΤΙΚΗ, ΟΠΟΥ ΧΡΕΙΑΖΕΤΑΙ) Ή ΠΟΛΛΑΠΛΕΣ ΟΠΕΣ (ΤΡΥΠΑΝΙΣΜΟΥΣ) Ή ΜΙΚΡΟΚΑΤΑΓΜΑ",SURGICAL,OPERATING_ROOM
X639719,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΧΕΙΡΟΥΡΓΙΚΗ. ΜΕ ΕΚΤΟΜΗ ΜΗΝΙΣΚΟΥ (ΕΣΩ ΚΑΙ ΕΞΩ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΑΠΟΞΕΣΗΣ ΜΗΝΙΣΚΟΥ)",SURGICAL,OPERATING_ROOM
X639721,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΧΕΙΡΟΥΡΓΙΚΗ. ΜΕ ΕΚΤΟΜΗ ΜΗΝΙΣΚΟΥ (ΕΣΩ Ή ΕΞΩ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΑΠΟΞΕΣΗΣ ΜΗΝΙΣΚΟΥ)",SURGICAL,OPERATING_ROOM
X639723,ΑΡΘΡΟΣΚΟΠΙΚΗ ΣΥΡΡΑΦΗ ΜΗΝΙΣΚΩΝ ΜΕ ΒΙΟΑΠΟΡΡΟΦΗΣΙΜΑ ΥΛΙΚΑ Η' ΜΕ (INSIDE OUT )TEXNIKH,SURGICAL,OPERATING_ROOM
X639725,ΑΝΕΝΕΡΓΟΣ,SURGICAL,OPERATING_ROOM
X639727,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΧΕΙΡΟΥΡΓΙΚΗ. ΜΕ ΛΥΣΗ ΣΥΜΦΥΣΕΩΝ, ΜΕ Ή ΧΩΡΙΣ ΧΕΙΡΙΣΜΟ (ΞΕΧΩΡΙΣΤΗ ΔΙΑΔΙΚΑΣΙΑ)",SURGICAL,OPERATING_ROOM
X639729,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΧΕΙΡΟΥΡΓΙΚΗ. ΜΕ ΤΟΜΗ (ΤΡΥΠΑΝΙΣΜΟ) ΓΙΑ ΔΙΑΧΩΡΙΣΤΙΚΗ ΟΣΤΕΟΧΟΝΔΡΙΤΙΔΑ ΜΕ ΟΣΤΙΚΟ ΜΟΣΧΕΥΜΑ, ΜΕ Ή ΧΩΡΙΣ ΕΣΩΤΕΡΙΚΗ ΚΑΘΗΛΩΣΗ (ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΟΥ ΤΟΥ ΧΕΙΡΟΥΡΓΙΚΟΥ ΚΑΘΑΡΙΣΜΟΥ ΤΗΣ ΒΑΣΗΣ ΤΗΣ ΒΛΑΒΗΣ)",SURGICAL,OPERATING_ROOM
X639731,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΤΡΥΠΑΝΙΣΜΟΣ ΓΙΑ ΜΗ ΕΠΙΠΛΕΓΜΕΝΗ ΔΙΑΧΩΡΙΣΤΙΚΗ ΟΣΤΕΟΧΟΝΔΡΙΤΙΔΑ",SURGICAL,OPERATING_ROOM
X639733,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΓΟΝΑΤΟ, ΤΡΥΠΑΝΙΣΜΟΣ ΓΙΑ ΜΗ ΕΠΙΠΛΕΓΜΕΝΗ ΔΙΑΧΩΡΙΣΤΙΚΗ ΟΣΤΕΟΧΟΝΔΡΙΤΙΔΑ ΜΕ ΕΣΩΤΕΡΙΚΗ ΚΑΘΗΛΩΣΗ",SURGICAL,OPERATING_ROOM
X639735,ΑΡΘΡΟΣΚΟΠΙΚΑ ΥΠΟΒΟΗΘΟΥΜΕΝΗ ΑΠΟΚΑΤΑΣΤΑΣΗ/ΕΝΙΣΧΥΣΗ ΠΡΟΣΘΙΟΥ ΧΙΑΣΤΟΥ ΣΥΝΔΕΣΜΟΥ Ή ΑΝΑΚΑΤΑΣΚΕΥΗ,SURGICAL,OPERATING_ROOM
X639737,ΑΡΘΡΟΣΚΟΠΙΚΑ ΥΠΟΒΟΗΘΟΥΜΕΝΗ ΑΠΟΚΑΤΑΣΤΑΣΗ/ΕΝΙΣΧΥΣΗ ΟΠΙΣΘΙΟΥ ΧΙΑΣΤΟΥ ΣΥΝΔΕΣΜΟΥ Ή Ή ΑΝΑΠΛΑΣΗ,SURGICAL,OPERATING_ROOM
X639741,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΠΟΔΟΚΝΗΜΙΚΗ, ΧΕΙΡΟΥΡΓΙΚΗ, ΕΚΤΟΜΗ ΟΣΤΕΟΧΟΝΔΡΙΝΗΣ ΒΛΑΒΗΣ ΑΣΤΡΑΓΑΛΟΥ ΚΑΙ/Ή ΚΝΗΜΗΣ, ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΟΥ ΤΡΥΠΑΝΙΣΜΟΥ ΤΗΣ ΒΛΑΒΗΣ",SURGICAL,OPERATING_ROOM
X639743,"ΑΡΘΡΟΣΚΟΠΙΚΑ ΥΠΟΒΟΗΘΟΥΜΕΝΗ ΑΠΟΚΑΤΑΣΤΑΣΗ ΜΕΓΑΛΗΣ ΒΛΑΒΗΣ ΔΙΑΧΩΡΙΣΤΙΚΗΣ ΟΣΤΕΟΧΟΝΔΡΙΤΙΔΑΣ, ΚΑΤΑΓΜΑΤΟΣ ΘΟΛΟΥ ΑΣΤΡΑΓΑΛΟΥ, Ή ΚΝΗΜΙΑΙΟΥ ΚΑΤΑΓΜΑΤΟΣ ΤΥΠΟΥ PLAFOND, ΜΕ ΄Η ΧΩΡΙΣ ΕΣΩΤΕΡΙΚΗ ΚΑΘΗΛΩΣΗ (ΠΕΡΙΛΑΜΒΑΝΕΙ ΑΡΘΡΟΣΚΟΠΗΣΗ)",SURGICAL,OPERATING_ROOM
X639745,ΕΝΔΟΣΚΟΠΙΚΗ ΤΟΜΗ ΠΕΛΜΑΤΙΑΙΑΣ ΠΕΡΙΤΟΝΙΑΣ,DIAGNOSTIC,PROCEDURE_ROOM
X639747,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΠΟΔΟΚΝΗΜΙΚΗ (ΑΣΤΡΑΓΑΛΟΚΝΗΜΙΑΙΕΣ ΚΑΙ ΑΣΤΡΑΓΑΛΟΠΕΡΟΝΙΑΙΕΣ ΑΡΘΡΩΣΕΙΣ), ΧΕΙΡΟΥΡΓΙΚΗ. ΜΕ ΑΦΑΙΡΕΣΗ ΕΛΕΥΘΕΡΟΥ Ή ΞΕΝΟΥ ΣΩΜΑΤΟΣ",SURGICAL,OPERATING_ROOM
X639749,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΠΟΔΟΚΝΗΜΙΚΗ (ΑΣΤΡΑΓΑΛΟΚΝΗΜΙΑΙΕΣ ΚΑΙ ΑΣΤΡΑΓΑΛΟΠΕΡΟΝΙΑΙΕΣ ΑΡΘΡΩΣΕΙΣ), ΧΕΙΡΟΥΡΓΙΚΗ ΕΚΤΟΜΗ ΑΡΘΡΙΚΟΥ ΘΥΛΑΚΑ, ΜΕΡΙΚΗ",SURGICAL,OPERATING_ROOM
X639753,ΑΝΕΝΕΡΓΟΣ,SURGICAL,OPERATING_ROOM
X639755,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΠΟΔΟΚΝΗΜΙΚΗ (ΑΣΤΡΑΓΑΛΟΚΝΗΜΙΑΙΕΣ ΚΑΙ ΑΣΤΡΑΓΑΛΟΠΕΡΟΝΙΑΙΕΣ ΑΡΘΡΩΣΕΙΣ), ΧΕΙΡΟΥΡΓΙΚΗ ΧΕΙΡΟΥΡΓΙΚΟΣ ΚΑΘΑΡΙΣΜΟΣ, ΕΚΤΕΤΑΜΕΝΟΣ",SURGICAL,OPERATING_ROOM
X639757,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΠΟΔΟΚΝΗΜΙΚΗ (ΑΣΤΡΑΓΑΛΟΚΝΗΜΙΑΙΕΣ ΚΑΙ ΑΣΤΡΑΓΑΛΟΠΕΡΟΝΙΑΙΕΣ ΑΡΘΡΩΣΕΙΣ), ΧΕΙΡΟΥΡΓΙΚΗ. ΜΕ ΑΡΘΡΟΔΕΣΗ ΠΟΔΟΚΝΗΜΙΚΗΣ",SURGICAL,OPERATING_ROOM
X639759,ΑΝΕΝΕΡΓΟΣ,SURGICAL,OPERATING_ROOM
X639761,ΑΡΘΡΟΣΚΟΠΗΣΗ ΜΕΤΑΤΑΡΣΟΦΑΛΑΓΓΙΚΗΣ ΑΡΘΡΟΣΚΟΠΙΚΟΣ ΚΑΘΑΡΙΣΜΟΣ-ΒΙΟΨΙΑ-ΑΠΟΚΑΤΑΣΤΑΣΗ ΣΥΝΔΕΣΜΙΚΩΝ ΒΛΑΒΩΝ,DIAGNOSTIC,PROCEDURE_ROOM
X639763,"ΑΡΘΡΟΣΚΟΠΗΣH, ΜΕΤΑΚΑΡΠΙΟΦΑΛΑΓΓΙΚΗ ΔΙΑΡΘΡΩΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ. ΜΕ ΜΕΙΩΣΗ ΜΕΤΑΤΟΠΙΣΜΕΝΟΥ ΩΛΕΝΙΟΥ ΠΑΡΑΠΛΕΥΡΟΥ ΣΥΝΔΕΣΜΟΥ (ΠΧ. ΒΛΑΒΗ STENAR)",SURGICAL,OPERATING_ROOM
X639767,"ΑΡΘΡΟΣΚΟΠΗΣΗ,ΥΠΑΣΤΡΑΓΑΛΙΚΗ ΑΡΘΡΩΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ. ΜΕ ΑΦΑΙΡΕΣΗ ΕΛΕΥΘΕΡΟΥ Ή ΞΕΝΟΥ ΣΩΜΑΤΟΣ",SURGICAL,OPERATING_ROOM
X639769,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΥΠΑΣΤΡΑΓΑΛΙΚΗ ΑΡΘΡΩΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ. ΜΕ ΕΚΤΟΜΗ ΑΡΘΡΙΚΟΥ ΘΥΛΑΚΑ",SURGICAL,OPERATING_ROOM
X639771,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΥΠΑΣΤΡΑΓΑΛΙΚΗ ΑΡΘΡΩΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ. ΜΕ ΧΕΙΡΟΥΡΓΙΚΟ ΚΑΘΑΡΙΣΜΟ",SURGICAL,OPERATING_ROOM
X639773,"ΑΡΘΡΟΣΚΟΠΗΣΗ, ΥΠΑΣΤΡΑΓΑΛΙΚΗ ΑΡΘΡΩΣΗ, ΧΕΙΡΟΥΡΓΙΚΗ. ΜΕ ΥΠΑΣΤΡΑΓΑΛΙΚΗ ΑΡΘΡΟΔΕΣΗ",SURGICAL,OPERATING_ROOM
X639957,"ΜΗ ΚΑΤΑΓΕΓΡΑΜΜΕΝΗ ΔΙΑΔΙΚΑΣΙΑ, ΑΡΘΡΟΣΚΟΠΗΣΗ",SURGICAL,OPERATING_ROOM
X639959,"ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ Ή ΑΙΜΑΤΩΜΑΤΟΣ, ΡΙΝΙΚΟ, ΕΣΩΤΕΡΙΚΗ ΠΡΟΣΠΕΛΑΣΗ",SURGICAL,OPERATING_ROOM
X639999,"ΠΑΡΟΧΕΤΕΥΣΗ ΑΠΟΣΤΗΜΑΤΟΣ Ή ΑΙΜΑΤΩΜΑΤΟΣ, ΡΙΝΙΚΟ ΔΙΑΦΡΑΓΜΑ",SURGICAL,OPERATING_ROOM
X640159,"ΒΙΟΨΙΑ, ΕΝΔΟΡΙΝΙΚΗ",DIAGNOSTIC,PROCEDURE_ROOM
X640179,"ΕΚΤΟΜΗ, ΡΙΝΙΚΟΣ ΠΟΛΥΠΟΔΑΣ(ΕΣ), ΑΠΛΗ",SURGICAL,OPERATING_ROOM
X640189,"ΕΚΤΟΜΗ, ΡΙΝΙΚΟΣ ΠΟΛΥΠΟΔΑΣ(ΕΣ), ΕΥΡΕΙΑ",SURGICAL,OPERATING_ROOM
X640193,"ΕΚΤΟΜΗ Ή ΚΑΤΑΣΤΡΟΦΗ (ΠΧ. ΛΕΪΖΕΡ Ή ΡΑΔΙΟΣΥΧΝΟΤΗΤΕΣ), ΕΝΔΟΡΙΝΙΚΗ ΒΛΑΒΗ. ΕΣΩΤΕΡΙΚΗ ΠΡΟΣΠΕΛΑΣΗ",SURGICAL,OPERATING_ROOM
X640195,"ΕΚΤΟΜΗ Ή ΚΑΤΑΣΤΡΟΦΗ (ΠΧ. ΛΕΪΖΕΡ), ΕΝΔΟΡΙΝΙΚΗ ΒΛΑΒΗ. ΕΞΩΤΕΡΙΚΗ ΠΡΟΣΠΕΛΑΣΗ (ΠΛΑΓΙΑ ΡΙΝΟΤΟΜΙΑ)",SURGICAL,OPERATING_ROOM
X640199,"ΑΝΤΙΜΕΤΩΠΙΣΗ ΡΙΝΟΦΥΜΑΤΟς ΜΕ ΧΡΗΣΗ ΔΕΡΜΟΑΠΟΞΕΣΗΣ, ΛΕΙΖΕΡ, ΗΛΕΚΡΟΧΕΙΡΟΥΡΓΙΚΗ, ΚΡΥΟΘΕΡΑΠΕΙΑ ΚΛΠ.",THERAPEUTIC,PROCEDURE_ROOM
X640207,"ΕΚΤΟΜΗ ΔΕΡΜΟΕΙΔΟΥΣ ΚΥΣΤΗΣ, ΡΙΣ. ΑΠΛΗ, ΔΕΡΜΑ, ΥΠΟΔΟΡΙΑ",SURGICAL,OPERATING_ROOM
X640209,"ΕΚΤΟΜΗ ΔΕΡΜΟΕΙΔΟΥΣ ΚΥΣΤΗΣ, ΡΙΣ. ΣΥΝΘΕΤΗ, ΚΑΤΩ ΑΠΟ ΟΣΤΟ Ή ΧΟΝΔΡΟ",SURGICAL,OPERATING_ROOM
X640219,"ΕΚΤΟΜΗ ΚΑΤΩ ΡΙΝΙΚΗΣ ΚΟΓΧΗΣ, ΜΕΡΙΚΗ Ή ΟΛΙΚΗ, ΚΑΘΕ ΜΕΘΟΔΟΣ",SURGICAL,OPERATING_ROOM
X640239,"ΥΠΟΒΛΕΝΝΟΓΟΝΟΣ ΕΚΤΟΜΗ ΚΑΤΩ ΡΙΝΙΚΗΣ ΚΟΓΧΗΣ, ΜΕΡΙΚΗ Ή ΟΛΙΚΗ, ΚΑΘΕ ΜΕΘΟΔΟΣ",SURGICAL,OPERATING_ROOM
X640259,ΡΙΝΕΚΤΟΜΗ. ΜΕΡΙΚΗ,SURGICAL,OPERATING_ROOM
X640279,ΡΙΝΕΚΤΟΜΗ. ΟΛΙΚΗ,SURGICAL,OPERATING_ROOM
X640359,"ΕΝΕΣΗ ΣΤΗΝ ΡΙΝΙΚΗ(ΕΣ) ΚΟΓΧΗ(ΕΣ), ΘΕΡΑΠΕΥΤΙΚΗ",THERAPEUTIC,PROCEDURE_ROOM
X640379,ΘΕΡΑΠΕΙΑ ΠΑΡΕΚΤΟΠΗΣΗΣ (ΤΥΠΟΣ PROETZ),THERAPEUTIC,PROCEDURE_ROOM
X640399,"ΕΙΣΑΓΩΓΗ, ΡΙΝΙΚΗ ΔΙΑΦΡΑΓΜΑΤΙΚΗ ΠΡΟΘΕΣΗ (ΟΠΗ)",SURGICAL,OPERATING_ROOM
X640559,"ΑΦΑΙΡΕΣΗ ΞΕΝΟΥ ΣΩΜΑΤΟΣ, ΕΝΔΟΡΙΝΙΚΗ, ΔΙΑΔΙΚΑΣΙΑ ΙΑΤΡΕΙΟΥ",SURGICAL,OPERATING_ROOM
X640579,"ΑΦΑΙΡΕΣΗ ΞΕΝΟΥ ΣΩΜΑΤΟΣ, ΕΝΔΟΡΙΝΙΚΗ. ΑΠΑΙΤΕΙ ΓΕΝΙΚΗ ΑΝΑΙΣΘΗΣΙΑ",SURGICAL,OPERATING_ROOM
X640599,"ΑΦΑΙΡΕΣΗ ΞΕΝΟΥ ΣΩΜΑΤΟΣ, ΕΝΔΟΡΙΝΙΚΗ. ΜΕΣΩ ΠΛΑΓΙΑΣ ΡΙΝΟΤΟΜΙΑΣ",SURGICAL,OPERATING_ROOM
X640759,"ΡΙΝΟΠΛΑΣΤΙΚΗ, ΒΑΣΙΚΗ. ΠΛΕΥΡΙΚΟΙ ΚΑΙ ΠΤΕΡΥΓΟΕΙΔΕΙΣ ΧΟΝΔΡΟΙ ΚΑΙ/Ή ΑΝΥΨΩΣΗ ΤΗΣ ΡΙΝΙΚΗΣ ΚΟΡΥΦΗΣ",SURGICAL,OPERATING_ROOM
X640779,"ΡΙΝΟΠΛΑΣΤΙΚΗ, ΒΑΣΙΚΗ. ΠΛΗΡΗΣ, ΕΞΩΤΕΡΙΚΑ ΜΕΡΗ ΣΥΜΠΕΡΙΛΑΜΒΑΝΟΜΕΝΗΣ ΤΗΣ ΟΣΤΕΪΝΗΣ ΠΥΡΑΜΙΔΑΣ ΠΛΕΥΡΙΚΟΙ ΚΑΙ ΠΤΕΡΥΓΟΕΙΔΕΙΣ ΧΟΝΔΡΟΙ, ΚΑΙ/Ή ΑΝΥΨΩΣΗ ΤΗΣ ΡΙΝΙΚΗΣ ΚΟΡΥΦΗΣ",SURGICAL,OPERATING_ROOM
