drug_id,drug_name
EMA0002591,Aleric Lora
EMA0002592,Aleric Spray
EMA0002593,Alerid
EMA0002594,Alerityn
EMA0002595,Alerjon
EMA0002596,Alerjuventus Expectorante
EMA0002597,Alerlisin
EMA0002598,Alermed
EMA0002599,Alertan
EMA0002600,Alertan
EMA0002601,Alerxem
EMA0002602,Alerzina
EMA0002603,Alessia
EMA0002604,Alestopor
EMA0002605,Aletro
EMA0002606,Aleudrina
EMA0002607,Aleve
EMA0002608,Aleve Classic Bij Pijn En Koorts
EMA0002609,Aleve Extra
EMA0002610,Aleve Feminax Bij Menstruatiepijn
EMA0002611,Aleve Intense
EMA0002612,Aleve Select
EMA0002613,Alevetabs
EMA0002614,Alevior
EMA0002615,Alexan
EMA0002616,Alexander’s Hot Lemon Cold Relief
EMA0002617,Alexander's Paracetamol
EMA0002618,Alexette
EMA0002619,Alexi
EMA0002620,Alexin
EMA0002621,Alezaxin
EMA0002622,Alfa-Amylase Bgr Conseil
EMA0002623,Alfa-Amylase Biogaran Conseil
EMA0002624,Alfabax
EMA0002625,Alfacalcidol Al
EMA0002626,Alfacalcidol Aristo
EMA0002627,Alfacalcidol Aurobindo
EMA0002628,Alfacalcidol Cande
EMA0002629,Alfacalcidol Cf
EMA0002630,Alfacalcidol Fairmed Healthcare
EMA0002631,Alfacalcidol Gemax Pharma
EMA0002632,Alfacalcidol Heaton
EMA0002633,Alfacalcidol Medreg
EMA0002634,Alfacalcidol Pharma Scientific
EMA0002635,Alfacalcidol Stada
EMA0002636,Alfacalcidol Stada M&d Srl
EMA0002637,Alfacalcidol Strides
EMA0002638,Alfacalcidol Strides Pharma
EMA0002639,Alfacalcidol Strides Pharma Uk
EMA0002640,Alfacalcidol Terapia
EMA0002641,Alfacalcidol Theramex
EMA0002642,Alfacalcidol Zentiva
EMA0002643,Alfacalcidolo Doc
EMA0002644,Alfacalcidolo Zentiva
EMA0002645,Alfadil
EMA0002646,Alfadil Bph
EMA0002647,Alfadiol
EMA0002648,Alfaflor
EMA0002649,Alfagem
EMA0002650,Alfakalcidol Sandoz
EMA0002651,Alfalastin
EMA0002652,Alfamed
EMA0002653,Alfaprost
EMA0002654,Alfaprot
EMA0002655,Alfason Crelo
EMA0002656,Alfason Creme
EMA0002657,Alfason Cresa
EMA0002658,Alfason Crinale
EMA0002659,Alfason Salbe
EMA0002660,Alfatendor
EMA0002661,Alfatex
EMA0002662,Alfatil
EMA0002663,Alfatil Lp
EMA0002664,Alfentanil Hameln
EMA0002665,Alfentanil Hameln Pharma
EMA0002666,Alfentanil Kalceks
EMA0002667,Alfentanil Martindale Pharmaceuticals
EMA0002668,Alfentanil N.A.
EMA0002669,Alfentanil Piramal
EMA0002670,Alfentanil Piramal
EMA0002671,Alfentanilo Hameln
EMA0002672,Alfentanilo Kalceks
EMA0002673,Alfetim Sr
EMA0002674,Alfetim Uno
EMA0002675,Alfinor
EMA0002676,Alflutop
EMA0002677,Alflutop
EMA0002678,Alfoxan
EMA0002679,Alfresed
EMA0002680,Alfu
EMA0002681,Alfudex
EMA0002682,Alfural
EMA0002683,Alfural Pr
EMA0002684,Alfurion
EMA0002685,Alfuzin
EMA0002686,Alfuzosin
EMA0002687,Alfuzosin 10 1 A Pharma
EMA0002688,Alfuzosin 5 1 A Pharma
EMA0002689,Alfuzosin Abz
EMA0002690,Alfuzosin Al
EMA0002691,Alfuzosin Aurobindo
EMA0002692,Alfuzosin Hcl Milpharm
EMA0002693,Alfuzosin Hcl Ratiopharm® Uno
EMA0002694,Alfuzosin Hcl Teva
EMA0002695,Alfuzosin Hydrochlorid Ratiopharm
EMA0002696,Alfuzosin Hydrochlorid Ratiopharm
EMA0002697,Alfuzosin Hydrochloride Alvogen
EMA0002698,Alfuzosin Hydrochloride Orion
EMA0002699,Alfuzosin Hydrochloride Teva Uk
EMA0002700,Alfuzosin Hydrochloride Zentiva Pharma Uk
EMA0002701,Alfuzosin Mepha
EMA0002702,Alfuzosin Orion
EMA0002703,Alfuzosin Pharmacenter
EMA0002704,Alfuzosin Ratiopharm
EMA0002705,Alfuzosin Rivopharm
EMA0002706,Alfuzosin Sandoz
EMA0002707,Alfuzosin Stada
EMA0002708,Alfuzosin Teva
EMA0002709,Alfuzosin Teva
EMA0002710,Alfuzosin Uno Ratiopharm
EMA0002711,Alfuzosin Uno Winthrop
EMA0002712,Alfuzosin Viatris
EMA0002713,Alfuzosin Winthrop
EMA0002714,Alfuzosin Zentiva
EMA0002715,Alfuzosina Aurobindo
EMA0002716,Alfuzosina Aurovitas
EMA0002717,Alfuzosina Ciclum
EMA0002718,Alfuzosina Doc Generici
EMA0002719,Alfuzosina Eg
EMA0002720,Alfuzosina Generis
EMA0002721,Alfuzosina Hexal
EMA0002722,Alfuzosina Mepha
EMA0002723,Alfuzosina Mylan Generics
EMA0002724,Alfuzosina Pensa
EMA0002725,Alfuzosina Ratiopharm
EMA0002726,Alfuzosina Ratiopharm
EMA0002727,Alfuzosina Sandoz
EMA0002728,Alfuzosina Stada
EMA0002729,Alfuzosina Teva
EMA0002730,Alfuzosina Teva-Ratiopharm
EMA0002731,Alfuzosina Viatris
EMA0002732,Alfuzosina Zentiva
EMA0002733,Alfuzosine
EMA0002734,Alfuzosine Hcl Aurobindo
EMA0002735,Alfuzosine Hcl Cf
EMA0002736,Alfuzosine Hcl Retard Viatris
EMA0002737,Alfuzosine Hcl Sandoz
EMA0002738,Alfuzosine Hcl Sun
EMA0002739,Alfuzosine L.P Eg
EMA0002740,Alfuzosine L.P. Biogaran
EMA0002741,Alfuzosine L.P. Sandoz
EMA0002742,Alfuzosine Lp Arrow
EMA0002743,Alfuzosine Lp Cristers
EMA0002744,Alfuzosine Lp Evolugen
EMA0002745,Alfuzosine Lp Zentiva
EMA0002746,Alfuzosine Sandoz
EMA0002747,Alfuzosine Viatris
EMA0002748,Alfuzosine Zydus
EMA0002749,Alfuzosinehydrochloride Pch
EMA0002750,Alfuzostad
EMA0002751,Alganex
EMA0002752,Algecia
EMA0002753,Algesal
EMA0002754,Algesal
EMA0002755,Algesal
EMA0002756,Algesal
EMA0002757,Algesal Activado Antirreumática Analgésica
EMA0002758,Algesal Baume
EMA0002759,Algesal Suractive
EMA0002760,Algesal Suractive
EMA0002761,Alghedon
EMA0002762,Algidol
EMA0002763,Algidrin
EMA0002764,Algidrin Bambini
EMA0002765,Algidrin Infantil
EMA0002766,Algidrin Pediatric
EMA0002767,Algidrin Pediátrico
EMA0002768,Algifast
EMA0002769,Algifen
EMA0002770,Algifen Neo
EMA0002771,Algifen Neo
EMA0002772,Algik
EMA0002773,Algik
EMA0002774,Algik
EMA0002775,Algik Gripe
EMA0002776,Algik Noite
EMA0002777,Algi-Mabo
EMA0002778,Algimate
EMA0002779,Algin Baby
EMA0002780,Algina
EMA0002781,Alginate De Sodium / Bicarbonate De Sodium Frilab
EMA0002782,Alginate De Sodium / Bicarbonate De Sodium Unither
EMA0002783,Alginate De Sodium/Bicarbonate De Sodium Arrow Lab
EMA0002784,Alginate De Sodium/Bicarbonate De Sodium Bgr
EMA0002785,Alginate De Sodium/Bicarbonate De Sodium Cristers
EMA0002786,Alginate De Sodium/Bicarbonate De Sodium Édulcorée À La Saccharine Sodique Biogaran Conseil
EMA0002787,Alginate De Sodium/Bicarbonate De Sodium Eg
EMA0002788,Alginate De Sodium/Bicarbonate De Sodium Eg Labo Conseil
EMA0002789,Alginate De Sodium/Bicarbonate De Sodium Sandoz
EMA0002790,Alginate De Sodium/Bicarbonate De Sodium Sans Sucre Édulcoré À La Saccharine Sodique Arrow Conseil
EMA0002791,Alginate De Sodium/Bicarbonate De Sodium Viatris
EMA0002792,Alginate De Sodium/Bicarbonate De Sodium Zentiva
EMA0002793,Alginate Pinewood Laboratories
EMA0002794,Algine
EMA0002795,Algiotop
EMA0002796,Algipan Balsam
EMA0002797,Algipan Balsem
EMA0002798,Algipan Baume
EMA0002799,Algirin
EMA0002800,Algirin Plus
EMA0002801,Algis-Spray
EMA0002802,Algix
EMA0002803,Algocalm
EMA0002804,Algocalmin
EMA0002805,Algocit
EMA0002806,Algocod
EMA0002807,Algofen
EMA0002808,Algofen
EMA0002809,Algofen Duofast
EMA0002810,Algofina
EMA0002811,Algoflex Baby
EMA0002812,Algoflex Duo
EMA0002813,Algoflex Forte Dolo
EMA0002814,Algoflex Izom+ízület
EMA0002815,Algoflex Rapid
EMA0002816,Algoflex Rapid Mini
EMA0002817,Algoflex Ultra Forte
EMA0002818,Algoflex-M
EMA0002819,Algofren
EMA0002820,Algofren Compositum
EMA0002821,Algofrenelle
EMA0002822,Algogesic
EMA0002823,Algolider
EMA0002824,Algominal
EMA0002825,Algon
EMA0002826,Algonad
EMA0002827,Algopirina
EMA0002828,Algopirina Febbre E Dolore Bambini Gusto Arancia Senza Zucchero
EMA0002829,Algopirina Febbre E Dolore Bambini Gusto Fragola
EMA0002830,"Algopirina Febbre E Dolore, Gusto Arancia"
EMA0002831,Algopirindol
EMA0002832,Algoplast
EMA0002833,Algoprall
EMA0002834,Algopress
EMA0002835,Algopyrin
EMA0002836,Algopyrin
EMA0002837,Algopyrin Trio
EMA0002838,Algostase
EMA0002839,Algostase Mono
EMA0002840,Algostop
EMA0002841,Algotra
EMA0002842,Algovil
EMA0002843,Algoxib
EMA0002844,Algozone
EMA0002845,Alhemo
EMA0002846,Aliane
EMA0002847,Aliflus
EMA0002848,Aliflus Diskus
EMA0002849,Aliflusin
EMA0002850,Alikres
EMA0002851,Alikval
EMA0002852,Alikval Duo
EMA0002853,Alimax
EMA0002854,Alimemazin Evolan
EMA0002855,Alimemazin Orifarm
EMA0002856,Alimemazine Tartrate
EMA0002857,Alimemazine Tartrate Mercury Pharmaceuticals
EMA0002858,Alimemazine Tartrate Mercury Pharmaceuticals Ltd
EMA0002859,Alimemazine Tartrate Rosemont Pharmacetucals
EMA0002860,Alimemazine Tartrate Rosemont Pharmaceuticals
EMA0002861,Alimemazine Tartrate Sugar-Free Noumed Life Sciences
EMA0002862,Alimemazine Tartrate Zentiva
EMA0002863,Alimemazine Tartrate Zentiva Pharma
EMA0002864,Alimemazine Thame
EMA0002865,Alimta
EMA0002866,Alindor
EMA0002867,Alipalmtin
EMA0002868,Alipza
EMA0002869,Alisma
EMA0002870,Alitrecare
EMA0002871,Alitrederm
EMA0002872,Alitretan
EMA0002873,Alitretinoin Ennogen Healthcare
EMA0002874,Alitretinoin Ennogen Ip
EMA0002875,Alitretinoin Orifarm
EMA0002876,Alitretinoína Cantabria
EMA0002877,Alitretinoína Ifc
EMA0002878,Alitretinoïne Ifc
EMA0002879,Alivio
EMA0002880,Aliviosin
EMA0002881,Alizem
EMA0002882,Alk (Alutard Sq)
EMA0002883,Alk (Alutard Sq)
EMA0002884,Alk (Aquagen Sq)
EMA0002885,Alk (Soluprick)
EMA0002886,Alk (Soluprick)
EMA0002887,Alk (Soluprick)
EMA0002888,Alk (Soluprick)
EMA0002889,Alk (Soluprick)
EMA0002890,Alk (Soluprick)
EMA0002891,Alk (Soluprick)
EMA0002892,Alk (Soluprick)
EMA0002893,Alk (Soluprick)
EMA0002894,Alk Prick Negativ Kontrolle
EMA0002895,Alk Prick Positiv Kontrolle
EMA0002896,Alk Soluprick Negativ Kontrol
EMA0002897,Alk Soluprick Positiv Kontrol
EMA0002898,Alka – Seltzer
EMA0002899,Alka Seltzer
EMA0002900,Alkacit
EMA0002901,Alkacitrat
EMA0002902,Alkaeffer
EMA0002903,Alkagin
EMA0002904,Alkala N
EMA0002905,Alkala T
EMA0002906,Alkaligen
EMA0002907,Alkapidan
EMA0002908,Alka-Seltzer
EMA0002909,Alka-Seltzer
EMA0002910,Alka-Seltzer
EMA0002911,Alka-Seltzer Classic
EMA0002912,Alka-Seltzer Original
EMA0002913,Alka-Seltzer Xs
EMA0002914,Alkcema
EMA0002915,Alk-Depot Sq
EMA0002916,Alk-Depot Sq
EMA0002917,Alk-Depot Sq
EMA0002918,Alk-Depot Sq
EMA0002919,Alk-Depot Sq
EMA0002920,Alk-Depot Sq
EMA0002921,Alk-Depot Sq
EMA0002922,Alk-Depot Sq 802
EMA0002923,Alk-Diluent
EMA0002924,Alkeran
EMA0002925,Alkeran
EMA0002926,Alket
EMA0002927,Alkindi
EMA0002928,Alk-Lyophilisiert Sq
EMA0002929,Alk-Lyophilisiert Sq
EMA0002930,Alkohol Pharmamagist
EMA0002931,Alkohol-Konzentrat Braun
EMA0002932,Alk-Prick N
EMA0002933,Alk-Prick N
EMA0002934,Alk-Prick N
EMA0002935,Alk-Prick N
EMA0002936,Alk-Prick N
EMA0002937,Alk-Prick N
EMA0002938,Alk-Prick N
EMA0002939,Alk-Prick N
EMA0002940,Alk-Prick N
EMA0002941,Alk-Prick N
EMA0002942,Alk-Prick N
EMA0002943,Alk-Prick N
EMA0002944,Alk-Prick N
EMA0002945,Alk-Prick N
EMA0002946,Alk-Prick N
EMA0002947,Alk-Prick Negativ-Kontrolle
EMA0002948,Alk-Prick Positiv-Kontrolle
EMA0002949,Alk-Prick Sq
EMA0002950,Alk-Prick Sq
EMA0002951,Alk-Prick Sq
EMA0002952,Alk-Prick Sq
EMA0002953,Alk-Prick Sq
EMA0002954,Alk-Prick Sq
EMA0002955,Alk-Prick Sq
EMA0002956,Alk-Prick Sq
EMA0002957,Alk-Prick Sq Insektengifte
EMA0002958,Alk-Prick Sq Insektengifte
EMA0002959,Alksebor
EMA0002960,All In One Max Strength Cold & Flu Capsules
EMA0002961,Allacan
EMA0002962,Allé
EMA0002963,Alle Forte
EMA0002964,Allefin
EMA0002965,Allefin Allergy
EMA0002966,Allegodil
EMA0002967,Allegra
EMA0002968,Allegra Allergietabletten
EMA0002969,Allegra Allergietabletten Kinder
EMA0002970,Allegra Fexotabs
EMA0002971,Allegra Forte
EMA0002972,Allegra Hives
EMA0002973,Allegra Junior
EMA0002974,Allegra Tab
EMA0002975,Allegra Telfast
EMA0002976,Allegra Telfast 180
EMA0002977,Allegro
EMA0002978,Allemax
EMA0002979,Allenda
EMA0002980,Alleopti Allergy
EMA0002981,Alleopti Hayfever
EMA0002982,Allercrom
EMA0002983,Allerduo
EMA0002984,Allerfre
EMA0002985,Allerg-Abak
EMA0002986,Allergan
EMA0002987,Allergie Augentropfen
EMA0002988,Allergie-Injektopas Homöopathisches Arzneimittel
EMA0002989,Allergieneusspray Natriumcromoglicaat Etos
EMA0002990,Allergieoogdruppels Natriumcromoglicaat Etos
EMA0002991,Allergietabletten Cetirizine Dihcl Htp
EMA0002992,Allergiflash
EMA0002993,Allergo-Azelind
EMA0002994,Allergocomod
EMA0002995,Allergo-Comod
EMA0002996,Allergocrom
EMA0002997,Allergodil
EMA0002998,Allergodil Akut
EMA0002999,Allergodil Akut Duo
EMA0003000,Allergodil Akut Forte
EMA0003001,Allergodil Augentropfen
EMA0003002,Allergodil Forte
EMA0003003,Allergodil Kombipackung
EMA0003004,Allergodil Nasenspray
EMA0003005,Allergodil Nevel
EMA0003006,Allergodil Od
EMA0003007,Allergodil Sprint
EMA0003008,Allergokatt
EMA0003009,Allergologes
EMA0003010,Allergo-Momelind
EMA0003011,Allergon
EMA0003012,Allergone
EMA0003013,Allergosan
EMA0003014,Allergospasmin N
EMA0003015,Allergospray
EMA0003016,Allergotin
EMA0003017,Allergotin Plus
EMA0003018,Allergoval
EMA0003019,Allergo-Vision Sine
EMA0003020,Allergovit
EMA0003021,Allergovit Beh Birke + Erle + Hasel
EMA0003022,Allergovit Beifuß
EMA0003023,Allergovit Bi Birke
EMA0003024,Allergovit Erle
EMA0003025,Allergovit Erle + Hasel
EMA0003026,Allergovit G Gräser
EMA0003027,Allergovit Gg Graeser/Getreide
EMA0003028,Allergovit Glaskraut
EMA0003029,Allergovit Gr Graeser 60% + Roggen 40%
EMA0003030,Allergovit Graeser + Beifuß + Roggen
EMA0003031,Allergovit Graeser + Birke + Roggen
EMA0003032,Allergovit Graeser + Roggen + Wegerich
EMA0003033,Allergovit Graeser 80% + Roggen 20%
EMA0003034,Allergovit Graeser/Getreide + Beifuß
EMA0003035,Allergovit Graeser/Getreide + Birke
EMA0003036,Allergovit Graeser/Getreide + Wegerich
EMA0003037,Allergovit Gräser+ Beifuß + Roggen + Wegerich
EMA0003038,Allergovit Gräser+ Birke + Roggen + Wegerich
EMA0003039,Allergovit Hasel
EMA0003040,Allergovit Roggen
EMA0003041,Allergovit Wegerich
EMA0003042,Allergy And Hayfever Relief
EMA0003043,Allergy Relief
EMA0003044,Allergy Relief
EMA0003045,Allergy Relief
EMA0003046,Allerief
EMA0003047,Allernon
EMA0003048,Allertec
EMA0003049,Allertec Effect
EMA0003050,Allertec Fexo
EMA0003051,Allertec Foxill
EMA0003052,Allertec Kids
EMA0003053,Allertek
EMA0003054,Allervi
EMA0003055,Allespray
EMA0003056,Allestin
EMA0003057,Allevia
EMA0003058,Allevia Hives
EMA0003059,Allgäuer Latschenkiefer Franzbranntwein
EMA0003060,Allgäuer Latschenkiefer Hornhaut Schälsalbe Vaselin Zur Anwendung Bei Erwachsenen Und Kindern Ab 1 Jahr
EMA0003061,Allgil
EMA0003062,Allgram
EMA0003063,Alli
EMA0003064,Alliofil
EMA0003065,Alliomint
EMA0003066,Allium Cepa D4 Deutsche Homöopathie-Union Dhu-Arzneimittel
EMA0003067,Allmet
EMA0003068,Allobeta
EMA0003069,Allochol
EMA0003070,Allonol
EMA0003071,Allopur
EMA0003072,Allopurinol
EMA0003073,Allopurinol !Stada
EMA0003074,Allopurinol +pharma
EMA0003075,Allopurinol Ab
EMA0003076,Allopurinol Abz
EMA0003077,Allopurinol Accord
EMA0003078,Allopurinol Accord Healthcare
EMA0003079,Allopurinol Accord Healthcare Ireland
EMA0003080,Allopurinol Al
EMA0003081,Allopurinol Amarox
EMA0003082,Allopurinol Aristo
EMA0003083,Allopurinol Arrow
EMA0003084,Allopurinol Arrow Lab
EMA0003085,Allopurinol Aspire Pharma
EMA0003086,Allopurinol Aurobindo
EMA0003087,Allopurinol Aurovitas
EMA0003088,Allopurinol Biogaran
EMA0003089,Allopurinol Bristol Laboratories
EMA0003090,Allopurinol Cf
EMA0003091,Allopurinol Chelonia Healthcare
EMA0003092,Allopurinol Clonmel
EMA0003093,Allopurinol Crescent Pharma
EMA0003094,Allopurinol Crescent Pharma International
EMA0003095,Allopurinol Cristers
EMA0003096,Allopurinol Eg
EMA0003097,Allopurinol Ennogen Pharma
EMA0003098,Allopurinol Eql Pharma
EMA0003099,Allopurinol Eurogenerics
EMA0003100,Allopurinol Flamingo Pharma (Uk)
EMA0003101,Allopurinol G.L.
EMA0003102,Allopurinol Genericon
EMA0003103,Allopurinol Genethics Europe
EMA0003104,Allopurinol Heumann
EMA0003105,Allopurinol Hexal
EMA0003106,Allopurinol Indoco
EMA0003107,Allopurinol Ipca
EMA0003108,Allopurinol Ipca Laboratories Uk
EMA0003109,Allopurinol Manx Healthcare Limited
EMA0003110,Allopurinol Medical Valley
EMA0003111,Allopurinol Medreg
EMA0003112,Allopurinol Milpharm
EMA0003113,Allopurinol Nordic Drugs
EMA0003114,Allopurinol Orifarm
EMA0003115,Allopurinol Orion
EMA0003116,Allopurinol Pch
EMA0003117,Allopurinol Puren
EMA0003118,Allopurinol Ratiopharm
EMA0003119,Allopurinol Relonchem
EMA0003120,Allopurinol Retard Genericon
EMA0003121,Allopurinol Sandoz
EMA0003122,Allopurinol Sanus
EMA0003123,Allopurinol Special Concept Development (Uk)
EMA0003124,Allopurinol Stada
EMA0003125,Allopurinol Strides Pharma Uk
EMA0003126,Allopurinol Teva
EMA0003127,Allopurinol Teva Italia
EMA0003128,Allopurinol Teva Uk
EMA0003129,Allopurinol Tillomed Laboratories
EMA0003130,Allopurinol Viatris
EMA0003131,Allopurinol Waymade
EMA0003132,Allopurinol Xiromed
EMA0003133,Allopurinol Zentiva
EMA0003134,Allopurinolo Accord
EMA0003135,Allopurinolo Adulti Doc Generici
EMA0003136,Allopurinolo Doc Generici
EMA0003137,Allopurinolo Molteni
EMA0003138,Allopurinolo Mylan
EMA0003139,Allopurinolo Sandoz
EMA0003140,Allopurinolo Teva Italia
EMA0003141,Allorin
EMA0003142,Allospes
EMA0003143,Allostad
EMA0003144,Alltrevo
EMA0003145,Alluna Schlaf
EMA0003146,Allupol
EMA0003147,Allurit
EMA0003148,Alluzience
EMA0003149,Alluzience
EMA0003150,Almacin
EMA0003151,Almacor
EMA0003152,Almacor Duo
EMA0003153,Almagato Cinfa
EMA0003154,Almagato Stadapharm
EMA0003155,Almagel A
EMA0003156,Almagels A
EMA0003157,Almarytm
EMA0003158,Almax
EMA0003159,Almax Forte
EMA0003160,Almeida
EMA0003161,Almertan
EMA0003162,Almerzac
EMA0003163,Almidis
EMA0003164,Almigástrico
EMA0003165,Almigripe
EMA0003166,Alminox
EMA0003167,Almiral
EMA0003168,Almiral
EMA0003169,Almiral Forte
EMA0003170,Almirincomb 4 Mg/10 Mg
EMA0003171,Almirincomb 4 Mg/5 Mg
EMA0003172,Almirincomb 8 Mg/10 Mg
EMA0003173,Almirincomb 8 Mg/5 Mg
EMA0003174,Almogran
EMA0003175,Almogran
EMA0003176,Almotrex
EMA0003177,Almotriptan Accord-Uk
EMA0003178,Almotriptan Arrow
EMA0003179,Almotriptan Aurobindo
EMA0003180,Almotriptan Bei Migräne Heumann
EMA0003181,Almotriptan Biogaran
EMA0003182,Almotriptan Chanelle Medical
EMA0003183,Almotriptán Cinfa
EMA0003184,Almotriptan Clydesdale Pharma
EMA0003185,Almotriptán Combix
EMA0003186,Almotriptan Doc Generici
EMA0003187,Almotriptan Eg
EMA0003188,Almotriptan Eg
EMA0003189,Almotriptán Kern Pharma
EMA0003190,Almotriptan Mylan
EMA0003191,Almotriptán Normon
EMA0003192,Almotriptan Orifarm
EMA0003193,Almotriptán Qualix
EMA0003194,Almotriptan Qualix Pharma
EMA0003195,Almotriptan Sandoz
EMA0003196,Almotriptán Stada
EMA0003197,Almotriptan Teva
EMA0003198,Almotriptan Teva Italia
EMA0003199,Almotriptan Viatris
EMA0003200,Almotriptán Vir
EMA0003201,Almotriptan Zentiva
EMA0003202,Almotriptan Zydus France
EMA0003203,Almotriptano Galenicum
EMA0003204,Almowill-Duo
EMA0003205,Almozen
EMA0003206,Almuriva
EMA0003207,Almus Allergy Relief
EMA0003208,Almus Allergy Relief
EMA0003209,Almus Antifungal
EMA0003210,Almus Constipation Relief Adult
EMA0003211,Almus Emergency Contraceptive
EMA0003212,Almus Erectile Dysfunction Relief
EMA0003213,Almus Hayfever
EMA0003214,Almus Ibs Relief
EMA0003215,Almus Infected Eye
EMA0003216,Almus Infected Eyes
EMA0003217,Almus Laxative
EMA0003218,Almus Max Strength Sleep Aid
EMA0003219,Almus Migraine Relief
EMA0003220,Almus Nasal And Sinus Decongestion
EMA0003221,Almus Period Pain Reliever
EMA0003222,Almus Simple Linctus
EMA0003223,Almus Stomach Cramp Relief
EMA0003224,Almus Sumatriptan
EMA0003225,Alnagon Neo
EMA0003226,Alneo
EMA0003227,Alneta
EMA0003228,Alnodine
EMA0003229,Alnok
EMA0003230,Alocare
EMA0003231,Alocutan
EMA0003232,Alocutan Forte
EMA0003233,Alodan
EMA0003234,Alodont
EMA0003235,Aloflute
EMA0003236,Alogliptin Aspire Pharma
EMA0003237,Alogliptin Torrent
EMA0003238,Alogliptin Torrent Pharma (Uk)
EMA0003239,Alomax
EMA0003240,Alomide
EMA0003241,Alomide
EMA0003242,Aloneb
EMA0003243,Alonest
EMA0003244,Alonet
EMA0003245,Alontan Antistaminico
EMA0003246,Alopatan
EMA0003247,Aloper
EMA0003248,Aloperidin
EMA0003249,Aloperidin Decanoas
EMA0003250,Aloperidolo Galenica Senese
EMA0003251,Aloperidolo Hikma
EMA0003252,Aloperidolo Pensa
EMA0003253,Aloperidolo S.A.L.F
EMA0003254,Alopexy
EMA0003255,Alopril
EMA0003256,Alopron
EMA0003257,Alopur
EMA0003258,Alopurinol
EMA0003259,Alopurinol Arena
EMA0003260,Alopurinol Aurovitas
EMA0003261,Alopurinol Belupo
EMA0003262,Alopurinol Bluefish
EMA0003263,Alopurinol Ciclum
EMA0003264,Alopurinol Gemax Pharma
EMA0003265,Alopurinol Generis
EMA0003266,Alopurinol Generis Phar
EMA0003267,Alopurinol Ipca
EMA0003268,Alopurinol Kern Pharma
EMA0003269,Alopurinol Mylan
EMA0003270,Alopurinol Normon
EMA0003271,Alopurinol Pensa
EMA0003272,Alopurinol Pharmas
EMA0003273,Alopurinol Sandoz
EMA0003274,Alopurinol Sidefarma
EMA0003275,Alopurinol Stada
EMA0003276,Alopurinol Stadafarma
EMA0003277,Alopurinol Sun
EMA0003278,Alopurinol Tarbis
EMA0003279,Alopurinol Tecnigen
EMA0003280,Alopurinol Teva
EMA0003281,Alopurinol Vida
EMA0003282,Alorexyl
EMA0003283,Alortia
EMA0003284,Alortya
EMA0003285,Alospray
EMA0003286,Alostil
EMA0003287,Alostine
EMA0003288,Alotab
EMA0003289,Alotendin
EMA0003290,Alovexlabiale
EMA0003291,Aloxi
EMA0003292,Aloxidil
EMA0003293,Alozex
EMA0003294,Alozof
EMA0003295,Alpagelle
EMA0003296,Alpan
EMA0003297,Alpekid Dento
EMA0003298,Alpekid Dormi
EMA0003299,Alpekid Immuno
EMA0003300,Alpekid Norma
EMA0003301,Alpenkraft Husten- Und Bronchial Kräutertee
EMA0003302,Alpha - Plus
EMA0003303,Alpha D3
EMA0003304,Alpha Lipon
EMA0003305,Alpha-Amylzimtaldehyd
EMA0003306,Alphabux
EMA0003307,Alphacaine N
EMA0003308,Alphacaine Sp
EMA0003309,Alphacal
EMA0003310,Alphacef
EMA0003311,Alphagan
EMA0003312,Alpha-Hexylzimtaldehyd
EMA0003313,Alpha-Lipogamma
EMA0003314,Alpha-Lipogamma Fertiginfusion
EMA0003315,Alpha-Lipon
EMA0003316,Alpha-Liponsäure Aaa®
EMA0003317,Alpha-Liponsäure Aaa-Pharma
EMA0003318,Alphaliponsäure Heumann
EMA0003319,Alphanate
EMA0003320,Alphanine
EMA0003321,Alpharix
EMA0003322,Alpharix
EMA0003323,Alpharix-Tetra
EMA0003324,Alpha-Rp
EMA0003325,Alpha-Vibolex
EMA0003326,Alpha-Vibolex Hrk
EMA0003327,Alpha-Vision Sine
EMA0003328,Alphazol
EMA0003329,Alpheus
EMA0003330,Alphosyl ‘2 In 1’
EMA0003331,Alpicort
EMA0003332,Alpicort E
EMA0003333,Alpicort F
EMA0003334,Alpicort Plus
EMA0003335,Alpicort-F
EMA0003336,Alpider
EMA0003337,Alpinamed Hustenlöser
EMA0003338,Alpinamed Hustenreizlinderer Eibisch
EMA0003339,Alpinamed Passelyt
EMA0003340,Alpinamed Passelyt Duo
EMA0003341,Alpragen
EMA0003342,Alprastad
EMA0003343,Alpraxil
EMA0003344,Alpraz
EMA0003345,Alpraz Retard
EMA0003346,Alprazig
EMA0003347,Alprazolam
EMA0003348,Alprazolam 1 A Pharma
EMA0003349,Alprazolam Ab
EMA0003350,Alprazolam Abz
EMA0003351,Alprazolam Al
EMA0003352,Alprazolam Alkaloid-Int
EMA0003353,Alprazolam Alter
EMA0003354,Alprazolam Arrow
EMA0003355,Alprazolam Arrow Lab
EMA0003356,Alprazolam Atb
EMA0003357,Alprazolam Aurobindo
EMA0003358,Alprazolam Aurobindo Italia
EMA0003359,Alprazolam Aurobindo Pharma Italia
EMA0003360,Alprazolam Aurovitas
EMA0003361,Alprazolam Basi
EMA0003362,Alprazolam Biogaran
EMA0003363,Alprazolam Bluepharma
EMA0003364,Alprazolam Cinfa
EMA0003365,Alprazolam Combix
EMA0003366,Alprazolam Cristers
EMA0003367,Alprazolam Dermogen
EMA0003368,Alprazolam Doc Generici
