+--------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------------+-----------------------+
| substance_id | substance_name                                                                                                                                                                                                                                                        | allergic_patient_count | containing_drug_count |
|         1538 | Rifabutin                                                                                                                                                                                                                                                             |                      0 |                     4 |
|         1124 | Saccharomyces Cerevisiae                                                                                                                                                                                                                                              |                      0 |                     4 |
|         1125 | Saccharomyces Minor                                                                                                                                                                                                                                                   |                      0 |                     4 |
|         9761 | Saw Palmetto Extract (10-14.3:1) , Extraction Solvent: Ethanol 90% W/W, Nettle Root Dry Extract (7.6-12.5:1), Extraction Solvent: Ethanol 60% W/W                                                                                                                     |                      0 |                     4 |
|         2957 | Scopolamine Hydrobromide                                                                                                                                                                                                                                              |                      0 |                     4 |
|         9661 | Secale Cereale                                                                                                                                                                                                                                                        |                      0 |                     4 |
|         9020 | Semaglutide                                                                                                                                                                                                                                                           |                      0 |                     4 |
|          487 | Senna Pods, Alexandrian                                                                                                                                                                                                                                               |                      0 |                     4 |
|         7208 | Siliceous Earth                                                                                                                                                                                                                                                       |                      0 |                     4 |
|         8087 | Silybum Marianum Extract                                                                                                                                                                                                                                              |                      0 |                     4 |
|         7066 | Sitagliptin Phosphate Monohydrate                                                                                                                                                                                                                                     |                      0 |                     4 |
|         3186 | Sodium Calcium Edetate                                                                                                                                                                                                                                                |                      0 |                     4 |
|         3271 | Sodium Citrate Dihydrate                                                                                                                                                                                                                                              |                      0 |                     4 |
|         8164 | Sodium Molybdate (99mo)                                                                                                                                                                                                                                               |                      0 |                     4 |
|         8682 | Sodium Molybdate Dihydrate, Zinc Chloride, Chromic Chloride, Copper Chloride, Ferrous Chloride, Manganese Chloride, Potassium Iodide, Sodium Fluoride, Sodium Selenite Pentahydrate                                                                                   |                      0 |                     4 |
|         8321 | Sodium Nitrite                                                                                                                                                                                                                                                        |                      0 |                     4 |
|         7413 | Sodium Picosulfate Anhydrous                                                                                                                                                                                                                                          |                      0 |                     4 |
|        10625 | Sodium, Hydrogen Carbonate                                                                                                                                                                                                                                            |                      0 |                     4 |
|         9759 | Soft Extract From Saw Palmetto Fruit (9-12:1), Extraction Solvent: Ethanol 96% V/V                                                                                                                                                                                    |                      0 |                     4 |
|         9768 | Soft Extract Of Saw Palmetto (Der 9-11:1), Extraction Solvent: Ethanol 96% V/V                                                                                                                                                                                        |                      0 |                     4 |
|         8063 | Sorbitol, Liquid (Crystallising), Sodium Citrate, Sodium Lauryl Sulfoacetate 70%                                                                                                                                                                                      |                      0 |                     4 |
|        10969 | Spike Lavender Oil                                                                                                                                                                                                                                                    |                      0 |                     4 |
|         6730 | St. John´s Wort Dry Extract, Quantified, Der 3-7:1, Extraction Solvent: Methanol 80 % (V/V)                                                                                                                                                                           |                      0 |                     4 |
|         7078 | St. John's Wort Powder                                                                                                                                                                                                                                                |                      0 |                     4 |
|         9483 | Stannous Chloride Dihydrate                                                                                                                                                                                                                                           |                      0 |                     4 |
|         6096 | Succinylated Gelatin                                                                                                                                                                                                                                                  |                      0 |                     4 |
|         1224 | Sugar Cane                                                                                                                                                                                                                                                            |                      0 |                     4 |
|         1664 | Sulfogaiacol                                                                                                                                                                                                                                                          |                      0 |                     4 |
|         4542 | Sulfur                                                                                                                                                                                                                                                                |                      0 |                     4 |
|         1962 | Sulfur D6, Cartilago Suis D6, Coenzym A D8, Embryo Totalis Suis D6, Acidum Thiocticum D8, Arnica Montana D4, Funiculus Umbilicalis Suis D6, Nadidum D8, Natrium Diethyloxalaceticum D8, Placenta Totalis Suis D6, Sanguinaria Canadensis D4, Solanum Dulcamara        |                      0 |                     4 |
|         8939 | Sultiame                                                                                                                                                                                                                                                              |                      0 |                     4 |
|         7227 | Sunitinib Cyclamate                                                                                                                                                                                                                                                   |                      0 |                     4 |
|        10584 | Tamsulosin Chloride, Solifenacin Succinate                                                                                                                                                                                                                            |                      0 |                     4 |
|         1342 | Taurine, Glycine, Potassium Chloride, Calcium Chloride Dihydrate, L-Lysine Acetate, Glucose Monohydrate, Magnesium Sulfate Heptahydrate, Sodium Acetate Trihydrate, Sodium Glycerophosphate, L-Tryptophan, L-Arginine, L-Histidine, L-Isoleucine, L-Leucine, L-       |                      0 |                     4 |
|         1808 | Thyme Herb Dry Extract (6-10:1), Extracting Agent: Ethanol 70% (V/V)                                                                                                                                                                                                  |                      0 |                     4 |
|          219 | Tiaprofenic Acid                                                                                                                                                                                                                                                      |                      0 |                     4 |
|         5474 | Tiliae Flos, Willow Bark, Sambucus Nigra Flower                                                                                                                                                                                                                       |                      0 |                     4 |
|         2946 | Timolol Maleate, Brinzolamide                                                                                                                                                                                                                                         |                      0 |                     4 |
|         7637 | Timolol Maleate, Tafluprost                                                                                                                                                                                                                                           |                      0 |                     4 |
|         6475 | Timonacic                                                                                                                                                                                                                                                             |                      0 |                     4 |
|         7397 | Tioguanine                                                                                                                                                                                                                                                            |                      0 |                     4 |
|         2198 | Tocilizumab                                                                                                                                                                                                                                                           |                      0 |                     4 |
|        11138 | Tolbutamide                                                                                                                                                                                                                                                           |                      0 |                     4 |
|         9509 | Topotecan Hydrochloride                                                                                                                                                                                                                                               |                      0 |                     4 |
|         4509 | Triamcinolone Acetonide, Salicylic Acid                                                                                                                                                                                                                               |                      0 |                     4 |
|         4225 | Trientine                                                                                                                                                                                                                                                             |                      0 |                     4 |
|         1944 | Trihexyphenidyl Hydrochloride Bp                                                                                                                                                                                                                                      |                      0 |                     4 |
|         4371 | Trimebutine                                                                                                                                                                                                                                                           |                      0 |                     4 |
|         9331 | Trimethylphloroglucinol, Phloroglucinol Dihydrate                                                                                                                                                                                                                     |                      0 |                     4 |
|         2215 | Tripelennamine Hydrochloride                                                                                                                                                                                                                                          |                      0 |                     4 |
|         1812 | Tryptophan                                                                                                                                                                                                                                                            |                      0 |                     4 |
|         5120 | Urapidil Hydrochloride                                                                                                                                                                                                                                                |                      0 |                     4 |
|         1140 | Ustilago Avenae                                                                                                                                                                                                                                                       |                      0 |                     4 |
|         1141 | Ustilago Holci                                                                                                                                                                                                                                                        |                      0 |                     4 |
|         1142 | Ustilago Tritici                                                                                                                                                                                                                                                      |                      0 |                     4 |
|         1143 | Ustilago Zeae                                                                                                                                                                                                                                                         |                      0 |                     4 |
|         6272 | Valerian Root Dry Extract (5-6:1), Ethanol 70 %(V/V), Dry Extract From Passion Flower (3-7:1): Extraction Solvent: Ethanol 70 % V/V                                                                                                                                   |                      0 |                     4 |
|         2280 | Valerian Tincture                                                                                                                                                                                                                                                     |                      0 |                     4 |
|        11441 | Valeriana Officinalis L. Radix                                                                                                                                                                                                                                        |                      0 |                     4 |
|         4839 | Valeriana Officinalis L. Root Dry Extract                                                                                                                                                                                                                             |                      0 |                     4 |
|         1347 | Valine, Alanine, Arginine, Histidine, Isoleucine, Leucine, Methionine, Phenylalanine, Proline, Serine, Threonine, Tyrosine, Aspartic Acid, Disodium Phosphate Dodecahydrate, Glutamic Acid, Glycine, Tryptophan, Magnesium Chloride Hexahydrate, Sodium Hydroxi       |                      0 |                     4 |
|         7103 | Valine, Alanine, Arginine, Histidine, Isoleucine, Leucine, Methionine, Phenylalanine, Proline, Serine, Threonine, Tyrosine, Aspartic Acid, Glutamic Acid, Glycine, Soya-Bean Oil Refined, Tryptophan, Potassium Chloride, Calcium Chloride Dihydrate, Glucose M       |                      0 |                     4 |
|         3856 | Valine, Alanine, Arginine, Histidine, Isoleucine, Leucine, Methionine, Phenylalanine, Proline, Serine, Threonine, Tyrosine, Dipotassium Phosphate, Glycine, Tryptophan, Magnesium Chloride Hexahydrate, Sodium Chloride, Calcium Chloride Dihydrate, Glucose Mo       |                      0 |                     4 |
|          237 | Valproic Acid                                                                                                                                                                                                                                                         |                      0 |                     4 |
|         9695 | Varicella Virus Oka Strain, (Live, Attenuated) Produced In Human Diploid (Mrc-5) Cells, Measles Virus Schwarz Strain (Live, Attenuated), Mumps Virus Rit 4385 Strain (Live, Attenuated) Derived From From The Jeryl Lynn Produced In Chick Embryo Cells, Rubell       |                      0 |                     4 |
|         9790 | Varicella Virus Oka/Merck Strain, (Live, Attenuated) Produced In Human Diploid (Mrc-5) Cells                                                                                                                                                                          |                      0 |                     4 |
|        10956 | Verapamil Hydrochloride, Trandolapril                                                                                                                                                                                                                                 |                      0 |                     4 |
|        11739 | Warfarin Sodium Clathrate                                                                                                                                                                                                                                             |                      0 |                     4 |
|         4383 | Zanamivir                                                                                                                                                                                                                                                             |                      0 |                     4 |
|           14 | Zidovudine, Abacavir, Lamivudine                                                                                                                                                                                                                                      |                      0 |                     4 |
|         6916 | Zinc Chloride, Potassium Iodide, Sodium Selenite, Copper Chloride Dihydrate, Manganese Chloride Tetrahydrate                                                                                                                                                          |                      0 |                     4 |
|        10768 | Zolpidem                                                                                                                                                                                                                                                              |                      0 |                     4 |
|          722 | 2-Propanol (Ph. Eur.)                                                                                                                                                                                                                                                 |                      0 |                     3 |
|          686 | 5-Aminolevulinic Acid                                                                                                                                                                                                                                                 |                      0 |                     3 |
|         1354 | Acetylcysteine, Acetic Acid, Glacial, Glycine, L-Lysine Acetate, L-Tryptophan, L-Arginine, L-Histidine, L-Isoleucine, L-Leucine, L-Methionine, L-Proline, L-Serine, L-Threonine, L-Valine, L-Phenylalanine, L-Alanine                                                 |                      0 |                     3 |
|          937 | Acetylsalicylic Acid, Caffeine, Codeine Phosphate Hemihydrate                                                                                                                                                                                                         |                      0 |                     3 |
|         6903 | Aconitum Trit. D3, Gelsemium Trit. D3, Ipecacuanha Trit. D3, Phosphorus Trit. D5, Eupatorium Perfoliatum Trit. D1, Bryonia Trit. D2                                                                                                                                   |                      0 |                     3 |
|         3410 | Agni Casti Fructus Extractum Siccum                                                                                                                                                                                                                                   |                      0 |                     3 |
|         4702 | Alanyl Glutamine                                                                                                                                                                                                                                                      |                      0 |                     3 |
|         5928 | Alchemilla                                                                                                                                                                                                                                                            |                      0 |                     3 |
|          548 | Alclometasone Dipropionate                                                                                                                                                                                                                                            |                      0 |                     3 |
|          753 | Alendronate Sodium (Ph. Eur.)                                                                                                                                                                                                                                         |                      0 |                     3 |
|          814 | Alimemazine                                                                                                                                                                                                                                                           |                      0 |                     3 |
|         3904 | Allergen Extract From Phleum Pratense Pollen, Glutaraldehyde-Modified, Festuca Pratensis Pollen Allergoid, Glutaraldehyde-Modified, Holcus Lanatus Pollen Allergoid, Glutaraldehyde-Modified, Allergen Extract From Poa Pratensis Pollen, Glutaraldehyde-Modifi       |                      0 |                     3 |
|         4325 | Allergens, Insect Venom                                                                                                                                                                                                                                               |                      0 |                     3 |
|         4326 | Allergens, Mould & Yeast Spore                                                                                                                                                                                                                                        |                      0 |                     3 |
|         7897 | Almasilate                                                                                                                                                                                                                                                            |                      0 |                     3 |
|          822 | Alternaria Alternata (402)                                                                                                                                                                                                                                            |                      0 |                     3 |
|         9363 | Althaeae Radix, Extractum                                                                                                                                                                                                                                             |                      0 |                     3 |
|        10703 | Altizide, Micronised Spironolactone                                                                                                                                                                                                                                   |                      0 |                     3 |
|          887 | Aluminium Hydroxide, Rye Pollen Allergoid, Chemically Modified, Orchard Grass Pollen Allergoid, Chemically Modified, Meadow Fescue Pollen Allergoid, Chemically Modified, Kentucky Blue Grass Pollen Allergoid, Chemically Modified, Velvet Grass Pollen Allerg       |                      0 |                     3 |
|        11483 | Aluminium Hydroxyphosphate Sulfate, Hepatitis A Virus (Strain Cr 326f) (Inactivated) Produced On Human Diploid (Mrc–5) Fibroblast Cells Adsorbed On Amorphous Aluminium Hydroxyphosphate Sulphate                                                                     |                      0 |                     3 |
|         8183 | Aluminium Oxide, Hydrated, Aluminium Phosphate, Hydrated, Guar, Magnesium Hydroxide                                                                                                                                                                                   |                      0 |                     3 |
|         1009 | Aluminium Phosphate Gel                                                                                                                                                                                                                                               |                      0 |                     3 |
|         1283 | Aluminium Phosphate, Hepatitis A Virus (Inactivated ) Adsorbed On Aluminium Hydroxide Hydrated Produced On Human Diploid (Mrc-5) Cells, Hepatitis B Surface Antigen (Rdna) Adsorbed On Aluminium Phosphate [produced In S. Cerevisae Cells By Rdna], Algeldrate       |                      0 |                     3 |
|         2888 | Aluminium Sulphate                                                                                                                                                                                                                                                    |                      0 |                     3 |
|         1290 | Ambroxol                                                                                                                                                                                                                                                              |                      0 |                     3 |
|         1289 | Ambroxol Acefyllinate                                                                                                                                                                                                                                                 |                      0 |                     3 |
|         1156 | Amiloride Hydrochloride Dihydrate                                                                                                                                                                                                                                     |                      0 |                     3 |
|         8234 | Aminobenzoate Potassium                                                                                                                                                                                                                                               |                      0 |                     3 |
|          169 | Aminocaproic Acid                                                                                                                                                                                                                                                     |                      0 |                     3 |
|         7251 | Amitriptyline Hydrochloride, Chlordiazepoxide                                                                                                                                                                                                                         |                      0 |                     3 |
|         1384 | Amsacrine                                                                                                                                                                                                                                                             |                      0 |                     3 |
|         2042 | Amylmetacresol, 2,4 Dichlorobenzyl Alcohol, Anhydrous Lidocaine Hydrochloride                                                                                                                                                                                         |                      0 |                     3 |
|         1439 | Anagrelide Hydrochloride Monohydrate                                                                                                                                                                                                                                  |                      0 |                     3 |
|         7932 | Anamirta Cocculus D4, Conium Maculatum D3, Ambra Grisea D6, Petroleum Rectificatum D8                                                                                                                                                                                 |                      0 |                     3 |
|        10835 | Anethole Trithione                                                                                                                                                                                                                                                    |                      0 |                     3 |
|         3119 | Anhydrous Caffeine                                                                                                                                                                                                                                                    |                      0 |                     3 |
|         8280 | Anhydrous Naloxone Hydrochloride                                                                                                                                                                                                                                      |                      0 |                     3 |
|          759 | Antazoline Phosphate, Naphazoline Hydrochloride                                                                                                                                                                                                                       |                      0 |                     3 |
|         1496 | Apis Mellifica D4, Atropa Bella-Donna D4, Arnica Montana D4, Hepar Sulfuris D6, Hydrargyrum Bicyanatum D8, Phytolacca Americana D4                                                                                                                                    |                      0 |                     3 |
|        11717 | Apomorphinum Hydrochloricum D6, Psychotria Ipecacuanha D4, Aethusa Cynapium D4, Colchicum Autumnale D6, Strychnos Ignatii D6, Strychnos Nux-Vomica D4                                                                                                                 |                      0 |                     3 |
|         1748 | Aprotinin                                                                                                                                                                                                                                                             |                      0 |                     3 |
|          823 | Arachis Hypogaea (762)                                                                                                                                                                                                                                                |                      0 |                     3 |
|         5569 | Argentum Nitricum D10, Hepar Sulfuris D10, Hydrargyrum Biiodatum D8, Mucosa Nasalis Suis D8, Pulsatilla Pratensis D2, Sinusitis Nosode D13, Luffa Operculata D2, Euphorbium D4                                                                                        |                      0 |                     3 |
|         1902 | Arnica Montana Ex Planta Tota Ø                                                                                                                                                                                                                                       |                      0 |                     3 |
|          855 | Artemisia Vulgaris (312)                                                                                                                                                                                                                                              |                      0 |                     3 |
|         8886 | Artemisia Vulgaris Pollen Extract                                                                                                                                                                                                                                     |                      0 |                     3 |
|        11346 | Articaine Hydrochloride                                                                                                                                                                                                                                               |                      0 |                     3 |
|         5403 | Ascorbic Acid, Cyanocobalamin, Folic Acid, Nicotinamide                                                                                                                                                                                                               |                      0 |                     3 |
|         4261 | Ascorbic Acid, Dry Ruscus Extract Titrated In Sterolic Heterosides (Sh), Hesperidin Methyl Chalcone                                                                                                                                                                   |                      0 |                     3 |
|         5701 | Ascorbic Acid, Ferrous Sulfate                                                                                                                                                                                                                                        |                      0 |                     3 |
|         2010 | Ascorbic Acid, Rutoside Trihydrate                                                                                                                                                                                                                                    |                      0 |                     3 |
|          824 | Aspergillus Fumigatus (405)                                                                                                                                                                                                                                           |                      0 |                     3 |
|         3400 | Atropa Belladonna Ex Herba Ferm 33a Dil. D2 (Hab, Vs. 33a), Eingeengter Wässriger Auszug Aus Carvi Fructus Sicc. (5:1) Auszugsmittel: Gereinigtes Wasser, Droge-Auszug-Verhältnis: 1,8:1, Nicotiana Tabacum E Foliis Ferm 33b Dil. D4 (Hab, Vs. 33b), Chamomill       |                      0 |                     3 |
|         2110 | Atropine                                                                                                                                                                                                                                                              |                      0 |                     3 |
|         7879 | Atropinum Sulfuricum D5, Hydrargyrum Bicyanatum D8, Aconitinum D5                                                                                                                                                                                                     |                      0 |                     3 |
|        11163 | Atropinum Sulfuricum Trit. D5, Hepar Sulfuris Trit. D3, Kalium Bichromicum Trit. D4, Silicea Trit. D2, Hydrargyrum Biiodatum Trit. D8                                                                                                                                 |                      0 |                     3 |
|         1072 | Avena Fatua Whole.                                                                                                                                                                                                                                                    |                      0 |                     3 |
|         1044 | Avena Fatua Whole., Triticum Aestivum, Dactylis Glomerata L., Phleum Pratense L., Anthoxanthum Odoratum L., Lolium Perenne L., Poa Pratensis L., Zea Mays L., Hordeum Vulgare L.                                                                                      |                      0 |                     3 |
|         7656 | Avena Sativa D2, Passiflora Incarnata D2, Zincum Isovalerianicum D4, Coffea Arabica D12                                                                                                                                                                               |                      0 |                     3 |
|         9371 | Avocado Oil Unsaponifiables, Soybean Oil Unsaponifiables                                                                                                                                                                                                              |                      0 |                     3 |
|         2219 | Azithromycin Monohydrate                                                                                                                                                                                                                                              |                      0 |                     3 |
|         4756 | Bearberry Leaves Dry Extract (3-4:1), Extraction Solvent Water                                                                                                                                                                                                        |                      0 |                     3 |
|         3836 | Beclometasone Dipropionate, Salbutamol Sulfate                                                                                                                                                                                                                        |                      0 |                     3 |
|         1961 | Bellis Perennis D2, Echinacea D2, Hypericum Perforatum D2, Mercurius Solubilis Hahnemanni D6, Achillea Millefolium D3, Atropa Bella-Donna D2, Calendula Officinalis D2, Aconitum Napellus D2, Arnica Montana D2, Hepar Sulfuris D6, Matricaria Recutita D3, Sym       |                      0 |                     3 |
|         2440 | Bendamustine Hydrochloride Monohydrate                                                                                                                                                                                                                                |                      0 |                     3 |
